Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
750407,The Book of Ebenezer Le Page,G.B. Edwards,"Edwards, G.B.",John Fowles,"=""1590172337""","=""9781590172339""",0,4.27,New York Review Books,Paperback,394,2007,1981,,2020/11/29,to-read,to-read (#864),to-read,,,,0,0
111126,"Hateship, Friendship, Courtship, Loveship, Marriage: Stories",Alice Munro,"Munro, Alice",,"=""0375727434""","=""9780375727436""",0,4.02,Vintage,Paperback,323,2002,2001,,2020/11/29,to-read,to-read (#863),to-read,,,,0,0
51045613,Deacon King Kong,James   McBride,"McBride, James",,"=""073521672X""","=""9780735216723""",0,4.16,Riverhead Books,Hardcover,370,2020,2020,,2020/11/29,to-read,to-read (#862),to-read,,,,0,0
40170500,Disoriental,Négar Djavadi,"Djavadi, Négar",Tina Kover,"=""1787700003""","=""9781787700000""",0,4.20,Europa Editions,Kindle Edition,346,2018,2016,,2020/11/29,to-read,to-read (#861),to-read,,,,0,0
88442,Austerlitz,W.G. Sebald,"Sebald, W.G.",Anthea Bell,"=""0140297995""","=""9780140297997""",0,3.98,Penguin Books,Paperback,415,2002,2001,,2020/11/29,to-read,to-read (#860),to-read,,,,0,0
434903,The Rings of Saturn,W.G. Sebald,"Sebald, W.G.",Michael Hulse,"=""0811214133""","=""9780811214131""",0,4.22,New Directions,Paperback,296,1999,1995,,2020/11/29,to-read,to-read (#859),to-read,,,,0,0
26566794,"Leonid Andreyev, Literary Collection",Leonid Andreyev,"Andreyev, Leonid","Archibald J. Wolfe, W. H. Lowe, Herman Bernstein, L.A. Magnus","=""1516925793""","=""9781516925797""",0,4.78,CreateSpace Independent Publishing Platform,Paperback,528,2015,2013,,2020/11/29,to-read,to-read (#858),to-read,,,,0,0
48862,Brighton Rock,Graham Greene,"Greene, Graham",J.M. Coetzee,"=""""","=""""",0,3.69,Vintage,Paperback,269,2004,1938,,2020/11/29,to-read,to-read (#857),to-read,,,,0,0
53174212,Stillicide,Cynan Jones,"Jones, Cynan",,"=""1646220137""","=""9781646220137""",0,3.34,Catapult,Paperback,176,2020,2019,,2020/11/29,to-read,to-read (#856),to-read,,,,0,0
49151665,Journey from St. Petersburg to Moscow (Russian Library),Aleksandr Radishchev,"Radishchev, Aleksandr","Andrew Kahn, Irina Reyfman","=""023118591X""","=""9780231185912""",0,3.50,Columbia University Press,Paperback,312,2020,1790,,2020/11/29,to-read,to-read (#855),to-read,,,,0,0
410138,Manservant and Maidservant,Ivy Compton-Burnett,"Compton-Burnett, Ivy",Diane Johnson,"=""0940322633""","=""9780940322639""",0,3.45,NYRB Classics,Paperback,309,2001,1947,,2020/11/27,to-read,to-read (#854),to-read,,,,0,0
51128821,Civilizations,Laurent Binet,"Binet, Laurent",,"=""2246813093""","=""9782246813095""",0,3.68,Grasset,Paperback,384,2019,2019,,2020/11/27,to-read,to-read (#853),to-read,,,,0,0
15374,The Ice Storm,Rick Moody,"Moody, Rick",,"=""0316706000""","=""9780316706001""",0,3.65,Back Bay Books,Paperback,305,2002,1994,,2020/11/24,to-read,to-read (#852),to-read,,,,0,0
288460,Lempriere's Dictionary,Lawrence Norfolk,"Norfolk, Lawrence",,"=""""","=""9780749398194""",0,3.68,Minerva .,Paperback,656,1992,1991,,2020/11/24,to-read,to-read (#851),to-read,,,,0,0
1424596,The Pope's Rhinoceros,Lawrence Norfolk,"Norfolk, Lawrence",,"=""0749398744""","=""9780749398743""",0,3.50,Vintage,Paperback,768,1998,1996,,2020/11/24,to-read,to-read (#850),to-read,,,,0,0
43811212,Quichotte,Salman Rushdie,"Rushdie, Salman",,"=""178733192X""","=""9781787331921""",0,3.81,Jonathan Cape,Paperback,393,2019,2019,,2020/11/24,to-read,to-read (#849),to-read,,,,0,0
7781430,The Private Lives of Trees,Alejandro Zambra,"Zambra, Alejandro",Megan McDowell,"=""1934824240""","=""9781934824245""",0,3.74,Open Letter,Paperback,98,2010,2007,,2020/11/24,to-read,to-read (#848),to-read,,,,0,0
2471844,Mapocho,Nona Fernández,"Fernández, Nona",,"=""956247285X""","=""9789562472852""",0,4.22,Planeta,Hardcover,240,2002,2002,,2020/11/24,to-read,to-read (#847),to-read,,,,0,0
50970293,The Index of Self-Destructive Acts,Christopher R. Beha,"Beha, Christopher R.",,"=""1947793829""","=""9781947793828""",0,4.08,Tin House Books,Hardcover,520,2020,2020,,2020/11/24,to-read,to-read (#846),to-read,,,,0,0
